p14973,p14931,1.0
p8270,p8273,0.0
p5202,p5201,1.0
p24355,p24350,0.0
p10647,p10645,1.0
p6334,p6329,1.0
p15225,p15221,0.0
p21547,p21415,1.0
p20057,p20055,1.0
p3710,p3709,0.0
p31213,p31489,0.0
p28064,p28254,1.0
p3323,p3369,0.0
p18503,p18499,0.0
p2555,p2430,0.0
p17144,p17143,1.0
p26454,p26425,0.0
p18071,p18067,1.0
p17772,p17769,0.0
p21539,p21536,1.0
p32289,p32279,1.0
p4611,p4629,1.0
p29138,p29302,1.0
p12713,p12710,1.0
p13860,p13843,0.0
p10945,p10717,1.0
p452,p318,1.0
p23961,p23960,1.0
p31141,p31133,1.0
p24417,p24476,0.0
p15206,p15161,0.0
p17310,p17301,0.0
p14870,p14867,1.0
p24953,p24869,1.0
p26600,p26581,0.0
p1947,p1946,0.0
p29207,p29189,1.0
p31516,p31507,0.0
p11191,p11171,1.0
p25007,p24999,1.0
p12026,p12021,1.0
p7014,p7024,1.0
p5015,p4999,1.0
p10768,p10751,1.0
p10119,p10145,1.0
p14392,p14417,0.0
p12515,p12484,1.0
p28245,p28101,1.0
p30659,p30679,1.0
p1678,p1696,1.0
p923,p916,0.0
p22037,p22010,0.0
p26330,p26578,0.0
p25963,p25789,0.0
p9510,p9556,1.0
p22134,p22147,1.0
p7104,p7050,1.0
p23778,p23785,1.0
p265,p153,1.0
p25039,p25031,0.0
p24787,p24828,1.0
p15387,p15319,0.0
p13792,p13787,1.0
p10191,p10196,1.0
p29757,p29743,1.0
p13447,p13430,1.0
p17059,p17054,1.0
p4561,p4558,0.0
p2574,p2571,0.0
p24294,p24501,0.0
p21268,p21259,0.0
p684,p683,0.0
p5731,p5721,0.0
p15435,p15371,0.0
p2005,p2003,0.0
p8649,p8630,0.0
p18642,p18853,0.0
p14067,p14064,0.0
p16658,p17037,1.0
p484,p318,1.0
p26443,p26442,0.0
p12007,p12033,1.0
p16067,p16039,1.0
p2193,p2210,1.0
p3860,p3782,0.0
p18519,p18518,0.0
p29058,p29056,1.0
p1213,p1229,1.0
p3797,p3723,0.0
p11960,p11875,0.0
p5788,p5781,1.0
p25347,p25341,1.0
p26066,p26013,1.0
p1057,p1066,1.0
p10771,p10723,1.0
p21483,p21543,1.0
p21288,p21308,0.0
p3358,p3332,0.0
p24338,p24295,0.0
p19761,p19755,1.0
p12472,p12468,1.0
p24687,p24686,1.0
p9720,p9682,1.0
p19030,p19022,0.0
p8273,p8292,0.0
p11187,p11173,1.0
p11021,p11015,1.0
p13691,p13641,1.0
p17600,p17485,0.0
p15634,p15600,1.0
p15355,p15227,0.0
p32557,p32570,1.0
p6438,p6364,1.0
p23244,p23234,1.0
p28247,p28242,1.0
p25317,p25313,1.0
p1214,p1229,1.0
p5367,p5354,0.0
p4354,p4344,1.0
p10500,p10489,1.0
p10734,p10728,1.0
p19619,p19609,1.0
p31285,p31349,0.0
p28265,p28137,1.0
p26876,p26867,1.0
p4504,p4535,1.0
p30943,p30876,1.0
p12114,p12110,1.0
p23552,p23505,1.0
p987,p916,0.0
p23732,p23760,1.0
p66,p4,0.0
p24221,p24239,0.0
p14624,p14621,1.0
p17407,p17599,0.0
p30326,p30324,1.0
p3319,p3313,1.0
p1998,p2023,0.0
p25042,p25033,0.0
p12223,p12200,1.0
p13804,p13773,1.0
p3831,p3880,0.0
p27123,p27120,1.0
p8237,p8234,1.0
p8012,p8008,1.0
p5796,p5793,1.0
p4509,p4504,1.0
p5780,p5778,1.0
p13651,p13641,1.0
p31546,p31579,0.0
p13346,p13345,1.0
p25519,p25517,0.0
p9618,p9615,0.0
p1601,p1643,1.0
p3670,p3665,0.0
p13528,p13442,1.0
p31171,p31103,1.0
p15253,p15252,0.0
p23283,p23279,1.0
p11554,p11504,0.0
p25894,p25883,0.0
p14399,p14411,0.0
p3544,p3527,0.0
p8610,p8593,0.0
p28787,p28775,1.0
p7189,p7155,1.0
p15022,p15012,1.0
p11465,p11438,0.0
p24688,p24698,1.0
p8415,p8370,1.0
p26021,p26019,1.0
p17284,p17279,0.0
p13875,p13874,0.0
p20452,p20483,1.0
p18079,p18077,1.0
p15646,p15645,1.0
p22660,p22657,1.0
p478,p482,1.0
p8901,p8900,1.0
p12285,p12243,1.0
p742,p734,1.0
p26769,p26771,0.0
p16111,p16108,0.0
p15079,p15081,1.0
p11721,p11718,1.0
p5816,p5836,1.0
p14159,p14157,0.0
p21215,p21210,0.0
p27171,p27308,1.0
p11609,p11564,0.0
p29141,p29130,1.0
p29206,p29204,1.0
p3848,p3797,0.0
p25687,p25685,1.0
p665,p661,1.0
p2258,p2194,1.0
p20628,p20627,0.0
p3908,p3903,0.0
p9419,p9418,0.0
p24647,p24652,1.0
p24996,p24995,1.0
p5792,p5791,1.0
p27157,p27304,1.0
p21948,p21671,1.0
p25985,p25984,1.0
p17516,p17512,0.0
p9687,p9647,1.0
p5194,p5188,1.0
p6298,p6268,1.0
p414,p318,1.0
p22659,p22604,1.0
p16165,p16163,0.0
p8180,p8220,1.0
p29205,p29204,1.0
p5153,p5147,1.0
p20564,p20556,0.0
p25642,p25626,1.0
p28945,p28941,1.0
p11427,p11426,0.0
p12969,p12967,1.0
p12144,p12142,1.0
p10761,p10760,1.0
p14864,p14861,1.0
p28898,p28853,0.0
p10072,p10071,1.0
p4527,p4520,1.0
p26411,p26409,0.0
p31097,p31095,1.0
p30237,p30020,1.0
p9813,p9807,1.0
p3560,p3548,0.0
p13915,p13916,0.0
p3817,p3864,0.0
p12367,p12363,1.0
p6253,p6247,1.0
p12293,p12285,1.0
p15585,p15650,1.0
p18571,p18553,0.0
p6331,p6325,1.0
p3903,p3825,0.0
p17604,p17566,0.0
p23964,p23953,1.0
p10895,p10882,1.0
p2355,p2341,1.0
p19550,p19545,1.0
p16850,p16841,1.0
p20909,p21029,1.0
p26175,p26148,1.0
p11489,p11488,0.0
p9332,p9311,0.0
p8431,p8331,1.0
p20792,p20790,0.0
p1725,p1696,1.0
p6621,p6620,1.0
p30156,p30108,1.0
p14803,p14800,1.0
p2633,p2415,0.0
p30694,p30691,1.0
p8770,p8759,0.0
p27478,p27470,1.0
p32863,p32829,0.0
p2257,p2194,1.0
p4684,p4773,0.0
p6765,p6417,1.0
p29301,p29268,1.0
p32060,p32054,1.0
p3617,p3615,0.0
p30445,p30348,1.0
p27975,p27953,1.0
p21119,p21114,1.0
p22689,p22691,1.0
p26328,p26323,0.0
p19650,p19611,1.0
p18107,p18102,1.0
p18056,p18046,1.0
p23156,p23153,1.0
p30455,p30498,1.0
p3829,p3809,0.0
