p10009,p9969
p10269,p10254
p10049,p10039
p10249,p10019
p173042,p173041
p241607,p244273
p165570,p165561
p163539,p163533
p163609,p163605
p191325,p191261
p162865,p163269
p238538,p245420
p190973,p190909
p188493,p188685
p163351,p163621
p238786,p238600
p167145,p167073
p238290,p238197
p200207,p200179
p162885,p162881
p193341,p193530
p173060,p173025
p225650,p225642
p225644,p225634
p225754,p225752
p10149,p10129
p9959,p9954
p10234,p10229
p10259,p10174
p9994,p9989
p114899,p117507
p117331,p114355
p117459,p117379
p167181,p167172
p99385,p102913
p103585,p103165
p24959,p24948
p27918,p27885
p32608,p32578
p24970,p24959
p32603,p32553
p26961,p25245
p26972,p26961
p32348,p32343
p32458,p32388
p27863,p27841
p105727,p105685
p32398,p32338
p32553,p32418
p32288,p32578
p10174,p9994
p13722,p13510
p200333,p200291
p193929,p193782
p9989,p9959
p193670,p193383
p194139,p193243
p193327,p193341
p9939,p10259
p193971,p193677
p9954,p10234
p194272,p193530
p193404,p193957
p193334,p193432
p23771,p24970
p25245,p25234
p27885,p27863
p27049,p24794
p32388,p32378
p32343,p32323
p32358,p32348
p32473,p32458
p32623,p32603
p32633,p32623
p32418,p32288
p32493,p32618
p32588,p32553
p88208,p88180
p90721,p90703
p98587,p98083
p70297,p70115
p150633,p149919
p150645,p150561
p93136,p92911
p87924,p87916
p104341,p104299
p147327,p146925
p104635,p104425
p104929,p104845
p129491,p129479
p146901,p147243
p103543,p103207
p24827,p26422
p100561,p100519
p88012,p88004
p111355,p110725
p24123,p23892
p100981,p100813
p129527,p129509
p111019,p110095
p149775,p149757
p88264,p88236
p104677,p104593
p92561,p92631
p91615,p91609
p111229,p110767
p92791,p93291
p100603,p100435
p100855,p100771
p90109,p89899
p102115,p101065
p92426,p92401
p90853,p91351
p93031,p92981
p114947,p114851
p113459,p113347
p113667,p113603
p113635,p113587
p114483,p113939
p113187,p113139
p149919,p150585
p131549,p130769
p173049,p173032
p162945,p162929
p163449,p163411
p163347,p163337
p190829,p190253
p191789,p191629
p163561,p163505
p191293,p191213
p167001,p165957
p191149,p192109
p190333,p190269
p163501,p163483
p163379,p163357
p189309,p188429
p243188,p236368
p189469,p189389
p194286,p194258
p163197,p163093
p190669,p190413
p173046,p173040
p129425,p129083
p245234,p239592
p129053,p128609
p245637,p239127
p190141,p189789
p130457,p130145
p163281,p163623
p238879,p243343
