a852,a955,p30782
a852,a955,p30662
a955,a852,p30612
a955,a136,p205734
a955,a136,p206427
a955,a852,p31042
a955,a852,p30952
a955,a852,p30872
a955,a955,p206460
a876,a825,p19789
a114,a936,p67354
a114,a936,p67201
a136,a955,p205822
a136,a542,p205679
a136,a279,p206691
a136,a542,p206097
a136,a279,p206141
a136,a279,p206471
a136,a279,p206064
a136,a955,p206581
a279,a936,p67065
a279,a114,p67371
a279,a136,p206042
a279,a936,p67303
a279,a936,p67218
a279,a936,p67609
a279,a136,p206108
a936,a114,p66606
a936,a114,p67524
a936,a114,p67184
a936,a279,p67048
a936,a279,p67541
a936,a279,p67320
a715,a715,p67949
a715,a936,p67728
a542,a136,p206680
a542,a136,p206053
a342,a500,p119730
a486,a342,p119666
a500,a370,p119722
a556,a497,p218484
a556,a497,p218498
a857,a497,p89794
a376,a108,p89773
a197,a919,p34758
a197,a919,p34698
a497,a108,p89659
a497,a497,p89671
a497,a556,p218476
a497,a857,p89800
a497,a556,p218492
a497,a108,p89770
a205,a205,p9267
a205,a205,p9873
a205,a205,p9417
a69,a105,p34485
a609,a105,p34326
a546,a573,p68620
a195,a195,p5250
a195,a195,p5290
a195,a195,p5258
a195,a195,p5186
a1025,a195,p5202
a1025,a195,p5226
a1025,a195,p5178
a1025,a195,p5298
a1025,a195,p5234
a1025,a195,p5282
a573,a546,p68582
a573,a546,p68354
a21,a555,p67779
a21,a21,p67762
a555,a370,p67252
a370,a555,p67167
a370,a555,p67286
a118,a717,p31172
a928,a853,p19788
a717,a56,p30882
a56,a1031,p69071
a56,a995,p69097
a56,a420,p69133
a56,a420,p69137
a56,a420,p69135
a56,a995,p69131
a420,a56,p69113
a420,a815,p69127
a420,a56,p69077
a197,a69,p119746
a995,a56,p69087
a995,a815,p69121
a1031,a56,p69141
a4,a686,p89608
a4,a316,p87399
a4,a686,p87347
a4,a686,p89611
a4,a686,p89797
a4,a686,p89599
a4,a756,p89620
a4,a24,p89689
a4,a686,p89686
a4,a686,p89578
a4,a686,p89650
a4,a686,p89680
a4,a686,p87259
a538,a686,p89647
a538,a686,p89677
a538,a686,p89716
a543,a686,p87371
a543,a686,p87463
a543,a686,p87339
a543,a686,p87279
a613,a706,p34958
a109,a864,p34848
a24,a4,p89683
a24,a686,p89791
a686,a316,p87275
a686,a316,p87283
a686,a543,p87431
a686,a4,p89593
a686,a4,p89641
a686,a543,p87267
a686,a543,p87443
a686,a4,p89629
a686,a316,p87223
a686,a4,p89812
a756,a4,p89746
a316,a4,p87407
a316,a686,p87211
a823,a125,p35457
a823,a125,p35450
a823,a125,p35435
a823,a125,p35440
a125,a823,p35456
a125,a823,p35439
a125,a823,p35447
a125,a823,p35446
a125,a823,p35453
a125,a624,p35452
a982,a982,p9531
a261,a24,p69057
a835,a823,p68449
a396,a823,p34479
a91,a396,p34353
a24,a24,p68867
